id,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,state,price_doc
159,38,19.0,12.0,16.0,1.0,1981.0,1.0,8.0,3.0,7200000
160,52,28.0,1.0,14.0,2.0,1971.0,2.0,8.0,2.0,5800000
161,37,19.0,9.0,16.0,1.0,1976.0,1.0,9.0,3.0,5250000
162,30,17.0,5.0,5.0,1.0,1965.0,1.0,5.0,2.0,1000000
163,47,29.0,7.0,9.0,2.0,1964.0,2.0,7.0,2.217643916121277,14600000
164,83,42.0,8.0,3.0,2.0,1961.0,3.0,9.0,2.0,24435000
165,57,33.0,11.0,22.0,5.0,1979.0,2.0,10.0,2.0,2000000
166,57,34.0,4.0,5.0,2.0,1955.0,2.0,8.0,2.0,10500000
168,45,27.0,7.0,9.0,1.0,1976.0,2.0,6.0,3.0,7950000
169,57,57.0,5.0,9.0,1.0,1970.0,3.0,5.0,3.0,1000000
170,23,15.0,3.0,5.0,2.0,1968.0,1.0,3.0,3.0,3800000
171,44,28.0,2.0,9.0,1.0,1979.0,2.0,6.0,3.0,7250000
172,57,33.0,15.0,17.0,1.0,2005.0,2.0,10.0,2.0,6650000
173,37,19.0,10.0,14.0,1.0,2003.0,1.0,7.0,2.217643916121277,5650000
174,87,50.0,14.0,16.0,1.0,1999.0,3.0,12.0,3.0,14500000
175,30,18.0,1.0,5.0,2.0,1963.0,1.0,5.0,2.0,4300000
176,40,16.0,8.0,12.0,2.0,1974.0,1.0,8.0,2.0,7600000
177,43,27.0,5.0,5.0,1.0,1964.0,2.0,5.0,2.0,6300000
178,54,28.0,14.0,16.0,1.0,2009.0,2.0,9.0,2.0,6350000
179,46,29.0,1.0,9.0,1.0,1975.0,2.0,5.0,2.217643916121277,6600000
180,60,44.0,3.0,9.0,1.0,1971.0,3.0,6.0,3.0,9700000
181,67,34.0,8.0,17.0,1.0,2004.0,2.0,12.0,3.0,11600000
183,41,32.800000000000004,6.0,25.0,4.0,1983.4109561350313,1.0,1.0,2.217643916121277,3753228
185,43,29.0,1.0,5.0,2.0,1961.0,2.0,5.0,2.0,2300000
186,33,18.0,5.0,12.0,1.0,1972.0,1.0,6.0,2.0,1000000
187,73,45.0,17.0,17.0,1.0,1994.0,3.0,9.0,2.0,11000000
188,92,64.0,3.0,14.0,1.0,2002.0,4.0,10.0,2.217643916121277,14000000
189,38,17.0,10.0,14.0,1.0,2007.0,1.0,8.0,2.217643916121277,4700000
190,32,16.0,4.0,5.0,1.0,1962.0,1.0,8.0,2.0,6000000
191,36,18.0,2.0,17.0,1.0,2004.0,1.0,6.0,2.217643916121277,5200000
193,45,18.0,8.0,1.0,1.0,2014.0,1.0,1.0,1.0,4309670
194,51,30.0,11.0,17.0,1.0,1998.0,2.0,8.0,2.0,8300000
195,84,56.0,3.0,14.0,1.0,1994.0,4.0,8.0,2.0,11200000
196,58,32.0,13.0,22.0,1.0,2002.0,2.0,10.0,4.0,11600000
197,53,36.0,1.0,5.0,2.0,1960.0,3.0,5.0,2.217643916121277,5650000
198,41,20.0,5.0,12.0,1.0,1978.0,1.0,8.0,2.217643916121277,3000000
199,45,28.0,5.0,12.0,5.0,1965.0,2.0,6.0,2.0,8200000
200,46,27.0,10.0,12.0,1.0,1971.0,2.0,6.0,2.217643916121277,7100000
201,99,63.0,9.0,22.0,1.0,1994.0,4.0,9.0,3.0,13200000
202,45,31.0,9.0,9.0,5.0,1964.0,2.0,5.0,3.0,2000000
203,51,34.0,2.0,9.0,1.0,1972.0,3.0,6.0,3.0,6800000
204,56,44.800000000000004,5.0,1.0,1.0,1983.4109561350313,2.0,1.0,1.0,7877617
205,32,18.0,5.0,9.0,1.0,1974.0,1.0,6.0,2.217643916121277,5000000
206,37,22.0,4.0,14.0,5.0,1971.0,2.0,6.0,2.0,6500000
207,36,18.0,5.0,17.0,1.0,1992.0,1.0,7.0,2.0,5500000
208,62,32.0,4.0,12.0,1.0,2005.0,2.0,12.0,2.0,9000000
209,52,30.0,5.0,12.0,1.0,1987.0,2.0,8.0,2.0,8200000
210,82,65.60000000000001,21.0,24.0,1.0,1983.4109561350313,3.0,12.0,2.217643916121277,11798773
211,56,38.0,8.0,9.0,1.0,1975.0,3.0,6.0,3.0,7880000
212,64,44.0,7.0,7.0,2.0,1950.0,3.0,7.0,3.0,15400000
213,57,31.0,18.0,22.0,5.0,1987.0,2.0,9.0,3.0,9550000
214,35,20.0,1.0,12.0,5.0,1979.0,1.0,9.0,2.0,4800000
215,50,30.0,7.0,17.0,1.0,1992.0,2.0,8.0,3.0,8500000
216,64,28.0,10.0,18.0,4.0,2008.0,2.0,10.0,3.0,2630000
217,79,53.0,4.0,8.0,2.0,1956.0,3.0,9.0,4.0,14000000
218,38,19.0,12.0,12.0,1.0,2005.0,1.0,7.0,3.0,1000000
219,38,23.0,3.0,12.0,5.0,1968.0,2.0,5.0,2.0,5900000
220,95,50.0,8.0,17.0,2.0,2003.0,3.0,15.0,4.0,8600000
221,60,48.0,20.0,22.0,1.0,1983.4109561350313,2.0,1.0,2.217643916121277,5391556
222,36,28.8,15.0,24.0,1.0,1983.4109561350313,1.0,1.0,2.217643916121277,3449191
223,37,19.0,13.0,17.0,1.0,2004.0,1.0,7.0,3.0,5900000
224,81,55.0,7.0,8.0,2.0,1956.0,3.0,8.0,2.0,18000000
225,55,44.0,10.0,1.0,1.0,1983.4109561350313,3.0,1.0,2.217643916121277,5959900
226,76,45.0,7.0,17.0,1.0,1987.0,3.0,10.0,3.0,14100000
227,36,22.0,3.0,9.0,1.0,1963.0,2.0,7.0,3.0,6500000
228,52,30.0,5.0,12.0,1.0,1977.0,2.0,8.0,2.0,7200000
229,37,19.0,4.0,1.0,6.0,2015.0,1.0,1.0,1.0,2473800
230,43,40.0,11.0,12.0,1.0,1974.0,1.0,13.0,2.0,6300000
232,66,45.0,2.0,8.0,2.0,1960.0,3.0,7.0,2.217643916121277,14420000
233,52,52.0,9.0,14.0,1.0,1983.4109561350313,2.0,8.0,2.217643916121277,6600000
234,60,37.0,16.0,24.0,4.0,2012.0,3.0,13.0,3.0,11460000
236,45,36.0,9.0,1.0,1.0,1983.4109561350313,1.0,1.0,2.217643916121277,5005000
237,68,41.0,4.0,12.0,2.0,1986.0,3.0,8.0,3.0,19900000
238,40,18.0,12.0,14.0,2.0,1970.0,1.0,8.0,2.217643916121277,6000000
239,39,18.0,13.0,25.0,1.0,2012.0,1.0,9.0,3.0,6700000
240,100,53.0,11.0,12.0,4.0,2008.0,2.0,14.0,2.217643916121277,13300000
241,74,46.0,17.0,17.0,1.0,1993.0,3.0,10.0,3.0,10500000
242,46,20.0,1.0,5.0,2.0,1957.0,1.0,8.0,2.0,3000000
243,38,21.0,3.0,12.0,5.0,1968.0,1.0,7.0,2.0,6450000
244,43,27.0,7.0,9.0,1.0,1972.0,2.0,5.0,2.0,1000000
245,35,35.0,7.0,12.0,1.0,1967.0,1.0,9.0,3.0,1000000
246,40,20.0,12.0,12.0,1.0,1977.0,1.0,8.0,2.0,5825000
247,45,28.0,5.0,12.0,5.0,1965.0,2.0,5.0,3.0,8000000
248,40,27.0,3.0,5.0,2.0,1963.0,2.0,5.0,2.0,6100000
249,51,40.800000000000004,8.0,17.0,1.0,1983.4109561350313,2.0,1.0,1.0,4311610
250,52,53.0,12.0,1.0,1.0,1983.0,2.0,8.0,3.0,3000000
251,30,18.0,3.0,5.0,2.0,1964.0,1.0,5.0,3.0,4800000
252,39,18.0,8.0,17.0,1.0,1979.0,1.0,10.0,4.0,8900000
253,43,18.0,1.0,16.0,1.0,1974.0,1.0,11.0,2.0,6350000
254,79,45.0,4.0,22.0,1.0,2003.0,3.0,10.0,4.0,15500000
255,85,47.0,8.0,17.0,1.0,2008.0,3.0,11.0,3.0,14650000
256,32,18.0,8.0,9.0,1.0,1970.0,1.0,6.0,4.0,5200000
257,35,21.0,2.0,8.0,2.0,1960.0,2.0,7.0,3.0,6500000
258,44,28.0,4.0,9.0,2.0,1974.0,2.0,5.0,2.0,1200000
259,49,39.2,10.0,12.0,6.0,2013.0,1.0,6.0,1.0,3046392
260,32,19.0,3.0,4.0,2.0,1960.0,1.0,6.0,3.0,4050000
261,37,18.0,3.0,17.0,1.0,1992.0,1.0,7.0,3.0,6285000
262,73,43.0,10.0,17.0,1.0,1999.0,3.0,9.0,4.0,11800000
263,45,29.0,6.0,9.0,1.0,1971.0,2.0,6.0,3.0,8050000
264,56,35.0,4.0,14.0,2.0,1958.0,2.0,7.0,2.0,17000000
265,73,52.0,1.0,5.0,2.0,1959.0,3.0,8.0,3.0,2000000
266,29,17.0,1.0,8.0,5.0,1960.0,1.0,4.0,3.0,5900000
267,68,30.0,7.0,16.0,1.0,2005.0,2.0,11.0,4.0,12500000
268,63,37.0,6.0,8.0,2.0,1958.0,2.0,9.0,3.0,12700000
269,50,28.0,14.0,22.0,1.0,1985.0,2.0,7.0,2.0,9000000
270,41,25.0,2.0,9.0,2.0,1970.0,2.0,4.0,3.0,5200000
271,50,30.0,7.0,17.0,1.0,1997.0,2.0,8.0,3.0,8700000
272,60,43.0,8.0,9.0,1.0,1973.0,3.0,6.0,2.217643916121277,7500000
273,52,30.0,12.0,14.0,1.0,2006.0,2.0,9.0,2.0,6750000
274,83,47.0,15.0,16.0,2.0,2001.0,3.0,11.0,3.0,13600000
275,38,19.0,8.0,17.0,1.0,2008.0,1.0,7.0,3.0,2784410
276,36,34.0,13.0,14.0,2.0,1972.0,1.0,8.0,3.0,5500000
277,37,22.0,4.0,14.0,1.0,1976.0,2.0,6.0,3.0,6200000
278,47,31.0,7.0,9.0,1.0,1968.0,2.0,6.0,2.217643916121277,6650000
279,78,51.0,2.0,8.0,2.0,1959.0,3.0,9.0,4.0,15100000
280,36,20.0,3.0,12.0,5.0,1968.0,1.0,9.0,2.0,5700000
281,40,23.0,9.0,14.0,1.0,1969.0,2.0,6.0,2.217643916121277,7750000
282,58,44.0,9.0,9.0,1.0,1973.0,3.0,6.0,2.0,10340000
283,37,37.0,7.0,1.0,1.0,1983.4109561350313,1.0,1.0,1.0,3831500
284,38,19.0,12.0,16.0,5.0,1982.0,1.0,9.0,2.217643916121277,6800000
285,63,35.0,8.0,9.0,2.0,1976.0,2.0,9.0,2.217643916121277,13500000
286,41,22.0,24.0,25.0,4.0,2010.0,1.0,10.0,2.217643916121277,3700000
287,32,18.0,9.0,9.0,1.0,1968.0,1.0,6.0,3.0,6450000
288,45,30.0,8.0,12.0,1.0,1982.0,2.0,6.0,2.0,6600000
289,43,27.0,3.0,9.0,1.0,1969.0,2.0,5.0,2.0,6900000
290,20,12.0,5.0,20.0,2.0,1973.0,1.0,3.0,2.0,4300000
291,51,30.0,2.0,9.0,2.0,1987.0,2.0,7.0,3.0,1200000
292,46,28.0,4.0,5.0,1.0,1973.0,2.0,5.0,3.0,5550000
293,45,28.0,3.0,12.0,5.0,1967.0,2.0,6.0,3.0,8500000
294,54,31.0,4.0,16.0,1.0,1978.0,2.0,8.0,2.217643916121277,7800000
295,84,50.0,13.0,14.0,1.0,1996.0,3.0,8.0,3.0,11800000
296,41,26.0,2.0,5.0,1.0,1964.0,2.0,5.0,2.0,2000000
297,37,19.0,2.0,17.0,1.0,1995.0,1.0,8.0,3.0,7400000
299,54,31.0,6.0,16.0,1.0,1982.0,2.0,8.0,3.0,9000000
300,39,22.0,10.0,12.0,5.0,1971.0,2.0,7.0,2.0,8850000
301,64,41.0,1.0,8.0,2.0,1932.0,3.0,7.0,2.0,3000000
302,78,46.0,10.0,22.0,1.0,1995.0,3.0,10.0,3.0,10500000
303,81,42.0,5.0,25.0,1.0,2009.0,2.0,14.0,3.0,8000000
304,17,10.0,4.0,5.0,2.0,1968.0,1.0,3.0,2.0,3700000
305,31,16.0,12.0,12.0,1.0,1972.0,1.0,7.0,3.0,6300000
306,32,16.0,9.0,12.0,1.0,1973.0,1.0,7.0,3.0,6400000
307,73,43.0,13.0,17.0,1.0,1992.0,3.0,10.0,2.0,10400000
308,54,32.0,17.0,17.0,1.0,1992.0,2.0,9.0,2.217643916121277,8200000
310,34,20.0,2.0,9.0,2.0,1974.0,2.0,6.0,3.0,5870000
311,32,18.0,4.0,9.0,1.0,1971.0,1.0,6.0,3.0,4900000
312,24,16.0,1.0,5.0,2.0,1968.0,1.0,3.0,2.0,1000000
313,50,29.0,1.0,5.0,2.0,1937.0,2.0,9.0,2.217643916121277,7200000
314,60,34.0,16.0,16.0,1.0,1980.0,2.0,10.0,3.0,8700000
315,41,20.0,7.0,12.0,1.0,1983.0,1.0,8.0,3.0,7349000
317,47,20.0,13.0,18.0,4.0,2008.0,1.0,12.0,2.217643916121277,8500000
319,50,33.0,7.0,12.0,5.0,1977.0,2.0,6.0,2.0,6900000
320,45,29.0,4.0,5.0,1.0,1965.0,2.0,5.0,3.0,1000000
321,71,49.0,8.0,9.0,2.0,1961.0,3.0,7.0,2.217643916121277,2000000
322,37,20.0,12.0,12.0,2.0,2013.0,1.0,10.0,1.0,6768600
324,85,54.0,4.0,12.0,1.0,2001.0,3.0,10.0,3.0,16000000
325,34,21.0,9.0,9.0,2.0,1965.0,2.0,6.0,3.0,6700000
326,52,41.6,10.0,17.0,1.0,2014.0,2.0,1.0,1.0,5073100
327,36,18.0,7.0,17.0,1.0,2002.0,1.0,6.0,3.0,6000000
328,61,48.800000000000004,5.0,17.0,4.0,1983.4109561350313,2.0,12.0,1.0,5764128
329,38,30.400000000000002,2.0,1.0,1.0,2013.0,1.0,1.0,2.217643916121277,4686797
331,54,32.0,6.0,17.0,1.0,1988.0,2.0,9.0,2.217643916121277,7500000
332,36,20.0,5.0,9.0,1.0,1970.0,1.0,6.0,2.217643916121277,5200000
333,82,60.0,2.0,9.0,2.0,1938.0,3.0,4.0,2.0,3000000
334,31,18.0,2.0,1.0,1.0,1950.0,2.0,3.0,3.0,7750000
336,36,18.0,13.0,17.0,1.0,2006.0,1.0,7.0,2.217643916121277,3000000
337,38,22.0,6.0,9.0,5.0,1966.0,2.0,7.0,2.0,1000000
338,53,32.0,11.0,17.0,1.0,1987.0,2.0,9.0,2.0,2000000
339,78,43.0,15.0,17.0,1.0,2004.0,3.0,10.0,2.217643916121277,12000000
340,30,16.0,1.0,5.0,2.0,1960.0,1.0,6.0,2.217643916121277,4450000
341,51,40.800000000000004,9.0,12.0,1.0,1983.4109561350313,2.0,1.0,1.0,3102652
342,38,19.0,1.0,17.0,1.0,1994.0,1.0,8.0,3.0,4700000
343,63,30.0,8.0,12.0,4.0,2013.0,2.0,1.0,1.0,6056000
344,45,29.0,5.0,9.0,1.0,1969.0,2.0,6.0,2.0,6800000
345,51,30.0,16.0,17.0,1.0,2008.0,2.0,9.0,3.0,4200000
346,44,29.0,5.0,9.0,1.0,1969.0,2.0,5.0,3.0,2000000
347,64,43.0,1.0,12.0,1.0,1975.0,3.0,6.0,2.0,11000000
348,80,80.0,7.0,1.0,1.0,2013.0,2.0,1.0,1.0,13718760
349,45,28.0,4.0,9.0,2.0,1971.0,2.0,5.0,2.0,6500000
350,43,28.0,3.0,5.0,2.0,1961.0,2.0,5.0,3.0,6900000
351,79,45.0,16.0,17.0,1.0,2001.0,3.0,12.0,3.0,16150000
352,75,43.0,7.0,12.0,1.0,1983.4109561350313,3.0,8.0,4.0,12300000
353,32,32.0,6.0,9.0,1.0,1978.0,1.0,6.0,3.0,6050000
